,Kurzbeschreibung,Beschreibung,Einheit
festrr,Monatsssumme des festen Niederschlags,"Niederschlagssumme fest, Monatsssumme aus Tageswerten - festrr = Summe aller RR/10, wobei wenn nieda = 2,3,4,8,9,12,14 dann RR = nied, wenn nieda = 5,6,7,10,11,13 dann RR = nied/2",mm
festrrp,Anteil des festen Niederschlags am Gesamtniederschlag,Niederschlag: Anteil des festen am gesamten Niederschlag (aus Tageswerten) - (festrr/rsum) * 100,%
frost,Zahl der Frosttage,Zahl der Frosttage: Lufttemperatur 2m Tagesminimum < 0 °C - Summe der Tage mit tmin < 0,
gew,Zahl der Tage mit Gewitter,"Zahl der Tage mit Gewitter, aus Code C - code_c = (2, 5, 8, 9, 10,11)",
global,Monatssumme der Globalstrahlung,"Globalstrahlung kalibriert, Monatssumme der Stundenwerte - Summe aller Stundenwerte, Bemerkung: derzeit zT falsch",J/cm²
gradt,Gradtagszahl 20/12,"Gradtagszahl 20/12 - Summe aller Werte (20.0 - Temperatur-Tagesmittel), wo Temperatur-Tagesmittel < 12.0 °C ist",°C
graupel,Zahl der Tage mit Graupel,"Zahl der Tage mit Graupel, aus Niederschlagsart - nieda = (3, 6, 8, 9, 10, 11, 14, 15)",
hagel,Zahl der Tage mit Hagel,"Zahl der Tage mit Hagel, aus Niederschlagsart - nieda = (4, 7, 9, 11, 12, 13, 14, 15)",
heit,Zahl der heiteren Tage,Zahl der heiteren Tage:  Bewölkungsmenge Tagesmittel < 20/100 - bewmit < 20/100,
ht,Zahl der Heiztage,"Zahl der Tage mit Heiztage 20/12 - Summe aller Tage, wo Temperatur-Tagesmittel =< 12.0 °C ist",
maxe10,Erdbodentemperatur -10cm Monatsmaximum,"Erdbodentemperatur in 10cm Tiefe, Monatsmaximum der Stundenwerte - Maximum aller Stundenwerte",°C
maxe100,Erdbodentemperatur -100cm Monatsmaximum,"Erdbodentemperatur in 100cm Tiefe, Monatsmaximum der Stundenwerte - Maximum aller Stundenwerte",°C
maxe20,Erdbodentemperatur -20cm Monatsmaximum,"Erdbodentemperatur in 20cm Tiefe, Monatsmaximum der Stundenwerte - Maximum aller Stundenwerte",°C
maxe200,Erdbodentemperatur -200cm Monatsmaximum,"Erdbodentemperatur in 200cm Tiefe, Monatsmaximum der Stundenwerte - Maximum aller Stundenwerte",°C
maxe50,Erdbodentemperatur -50cm Monatsmaximum,"Erdbodentemperatur in 50cm Tiefe, Monatsmaximum der Stundenwerte - Maximum aller Stundenwerte",°C
mine10,Erdbodentemperatur -10cm Monatsminimum,"Erdbodentemperatur in 10cm Tiefe, Monatsminimum der Stundenwerte - Minimum aller Stundenwerte",°C
mine100,Erdbodentemperatur -100cm Monatsminumum,"Erdbodentemperatur in 100cm Tiefe, Monatsminumum der Stundenwerte - Minimum aller Stundenwerte",°C
mine20,Erdbodentemperatur -20cm Monatsminimum,"Erdbodentemperatur in 20cm Tiefe, Monatsminimum der Stundenwerte - Minimum aller Stundenwerte",°C
mine200,Erdbodentemperatur -200cm Monatsminimum,"Erdbodentemperatur in 200cm Tiefe, Monatsminimum der Stundenwerte - Minimum aller Stundenwerte",°C
mine50,Erdbodentemperatur -50cm Monatsminimum,"Erdbodentemperatur in 50cm Tiefe, Monatsminimum der Stundenwerte - Minimum aller Stundenwerte",°C
mtmax,Lufttemperatur 2m Monatsmittel aller Tagesmaxima,"Lufttemperatur in 2m Höhe, Monatsmittel aller Tagesmaxima - Summe täglicher Maxima/Anzahl der Tage",°C
mtmin,Lufttemperatur 2m Monatsmittel aller Tagesminima,"Lufttemperatur in 2m Höhe, Monatsmittel aller Tagesminima - Summe täglicher Minima/Anzahl der Tage",°C
n01,Zahl der Tage mit Niederschlag >= 0.1mm,"Zahl der Tage >= 0.1mm Niederschlag, Monatsauswertung der Tagessummen zum Termin I - Tage mit nied >= 0 .1 und < 9999",
n1,Zahl der Tage mit Niederschlag >= 1mm,"Zahl der Tage >= 1mm Niederschlag, Monatsauswertung der Tagessummen zum Termin I - Tage mit nied >= 1.0 und < 9999",
n10,Zahl der Tage mit Niederschlag >= 10mm,"Zahl der Tage >= 10mm Niederschlag, Monatsauswertung der Tagessummen zum Termin  I - Tage mit nied >= 10.0 und < 9999",
n5,Zahl der Tage mit Niederschlag >= 5mm,"Zahl der Tage >= 5mm Niederschlag, Monatsauswertung der Tagessummen zum Termin I - Tage mit nied >= 5.0 und < 9999",
nebel,Zahl der Tage mit Nebel,"Zahl der Tage mit Nebel, aus Code C - code_c = (1, 5, 6,7, 10, 11)",
nsch,Neuschneehöhe Monatssumme,"Neuschneehöhe, Monatssumme der Tageswerte zum Beobachtungstermin I - Summe aller neuschnee > 0 und < 9999",cm
nschmax,Neuschneehöhe Monatsmaximum der Tageswerte,"Neuschneehöhe, Monatsmaximum der Tageswerte zum Beobachtungstermin I - Maximum von neuschnee < 9999",cm
nschmaxt,Neuschneehöhe Tag des Monatsmaximums,"Neuschneehöhe, Tag des Monatsmaximums zum Beobachtungstermin I - Tag wo neuschnee = Maximum",
p,Luftdruck Monatsmittel,"Luftdruck, Monatsmittel der Beobachtungstermine I, II, III - Summe aller 7,14,19/21 Uhr Terminwerte/Anzahl der Termine",hPa
pmax,Luftdruck Monatsmaximum,"Luftdruck, Monatsmaximum aller Beobachtungstermine I,II,III - Maximum aller Termine des Monats",hPa
pmin,Luftdruck Monatsminimum,"Luftdruck, Monatsminimum aller Beobachtungstermine I,II,III - Minimum aller Termine des Monats",hPa
r15,Niederschlag Zahl der Tage >=15mm,"Zahl der Tage >=15mm Niederschlag, Monatsauswertung der Tagessummen zum Termin I - Zahl der Tage, wo nied > 150 und nied < 9999",
